Config 1/10: hidden=256, lr=0.001, wd=0.0001, batch=32
Epoch 30 | train loss 0.0610, acc 97.67% | val loss 0.2547, acc 93.03%, F1 0.9373
Validation F1 for this config: 0.9439

############################################################
Config 7/10: hidden=256, lr=0.0003, wd=0.0, batch=32

Training with: hidden=256, lr=0.0003, wd=0.0, batch=32
Epoch 01 | train loss 0.4088, acc 81.06% | val loss 0.2846, acc 87.89%, F1 0.8948
Epoch 02 | train loss 0.2383, acc 90.17% | val loss 0.2909, acc 86.93%, F1 0.8910
Epoch 03 | train loss 0.1857, acc 92.59% | val loss 0.2303, acc 90.46%, F1 0.9143
Epoch 04 | train loss 0.1564, acc 93.83% | val loss 0.1885, acc 92.34%, F1 0.9315
Epoch 05 | train loss 0.1356, acc 94.46% | val loss 0.2020, acc 92.57%, F1 0.9351
Epoch 06 | train loss 0.1309, acc 94.65% | val loss 0.1861, acc 92.98%, F1 0.9371
Epoch 07 | train loss 0.1065, acc 95.84% | val loss 0.1784, acc 92.84%, F1 0.9370
Epoch 08 | train loss 0.0966, acc 96.33% | val loss 0.2099, acc 92.48%, F1 0.9317
Epoch 09 | train loss 0.0942, acc 96.23% | val loss 0.2056, acc 92.20%, F1 0.9313
Epoch 10 | train loss 0.0764, acc 97.33% | val loss 0.1806, acc 93.85%, F1 0.9456
Epoch 11 | train loss 0.0661, acc 97.50% | val loss 0.2034, acc 93.03%, F1 0.9376
Epoch 12 | train loss 0.0663, acc 97.49% | val loss 0.1856, acc 93.35%, F1 0.9420
Epoch 13 | train loss 0.0622, acc 97.99% | val loss 0.2169, acc 92.84%, F1 0.9366
Epoch 14 | train loss 0.0559, acc 98.05% | val loss 0.1660, acc 94.22%, F1 0.9487
Epoch 15 | train loss 0.0449, acc 98.39% | val loss 0.2144, acc 93.12%, F1 0.9370
Epoch 16 | train loss 0.0468, acc 98.51% | val loss 0.2461, acc 93.49%, F1 0.9432
Epoch 17 | train loss 0.0439, acc 98.49% | val loss 0.1825, acc 95.18%, F1 0.9571
Epoch 18 | train loss 0.0394, acc 98.58% | val loss 0.2119, acc 93.58%, F1 0.9414
